Attrition,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,Top_Attrition_Reasons
1,41,2,7,5993,6,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,49,1,6,5130,10,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,37,1,2,2090,0,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,33,1,6,2909,8,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,27,1,2,3468,2,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,32,1,2,3068,7,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,59,1,2,2670,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,30,1,2,2693,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,38,1,4,9526,9,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,36,1,0,5237,7,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,35,1,2,2426,5,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,29,1,2,4193,9,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,31,1,6,2911,5,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,34,1,2,2661,2,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,28,1,2,2028,4,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,29,1,4,9980,10,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,32,1,6,3298,6,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,22,1,2,2935,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,53,2,3,15427,25,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,38,1,6,3944,3,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,24,1,4,4011,4,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,36,2,8,3407,5,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,34,1,5,11994,12,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,21,1,6,1232,0,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,34,1,6,2960,4,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,53,1,3,19094,14,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,32,1,6,3919,10,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,42,2,7,6825,9,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,44,1,0,10248,22,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,46,2,3,18947,2,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,33,1,2,2496,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,44,1,0,6465,4,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,30,1,2,2206,10,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,39,2,8,2086,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,24,1,6,2293,2,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,43,1,6,2645,5,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,50,2,8,2683,3,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,35,2,8,2014,2,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,36,1,6,3419,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,33,2,7,5376,5,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,35,1,2,1951,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,27,1,2,2341,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,26,1,2,2293,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,27,2,7,8726,9,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,30,1,2,4011,12,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,41,1,5,19545,22,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,34,2,7,4568,9,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,37,1,6,3022,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,46,2,7,5772,9,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,35,1,2,2269,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,48,1,2,5381,1,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
1,28,1,2,3441,2,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,44,2,7,5454,4,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,35,1,0,9884,4,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,26,2,7,4157,2,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,33,1,5,13458,15,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,35,2,7,9069,9,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,35,1,2,4014,2,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,31,1,2,5915,7,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
0,37,1,4,5993,7,"StockOptionLevel, JobSatisfaction, MonthlyIncome, JobInvolvement, EnvironmentSatisfaction"
